,Outlier,comment_count,down_votes,post_id,reputation,score,up_votes,user_id,view_count,views
1,reputation,0,158,34420509,9331,0,509,148381,19,800
1,up_votes,0,158,34420509,9331,0,509,148381,19,800
1,down_votes,0,158,34420509,9331,0,509,148381,19,800
